187620, 1, 1, 4, 1, 1, 0, 0, 0, 228, 220, 2, 0, 1, 32, 191, 2, 0, 42, 7, 0, 0, 3
247620, 1, 1, 4, 1, 1, 0, 0, 0, 68, 199, 3, 0, 2, 128, 169, 3, 0, 175, 9, 0, 0, 3
307620, 1, 1, 4, 1, 1, 0, 0, 0, 164, 177, 4, 0, 2, 224, 147, 4, 0, 17, 12, 0, 0, 3
367620, 1, 1, 4, 1, 1, 0, 0, 0, 4, 156, 5, 0, 2, 64, 126, 5, 0, 255, 13, 0, 0, 3
427620, 1, 1, 4, 1, 1, 0, 0, 0, 100, 134, 6, 0, 2, 160, 104, 6, 0, 157, 15, 0, 0, 3
487620, 1, 1, 4, 1, 1, 0, 0, 0, 196, 112, 7, 0, 2, 0, 83, 7, 0, 105, 17, 0, 0, 3
547620, 1, 1, 4, 1, 1, 0, 0, 0, 36, 91, 8, 0, 2, 96, 61, 8, 0, 65, 19, 0, 0, 3
607620, 1, 1, 4, 1, 1, 0, 0, 0, 132, 69, 9, 0, 2, 192, 39, 9, 0, 49, 21, 0, 0, 3
667620, 1, 1, 4, 1, 1, 0, 0, 0, 228, 47, 10, 0, 2, 32, 18, 10, 0, 169, 23, 0, 0, 3
727620, 1, 1, 4, 1, 1, 0, 0, 0, 68, 26, 11, 0, 2, 128, 252, 10, 0, 85, 26, 0, 0, 3
787620, 1, 1, 4, 1, 1, 0, 0, 0, 164, 4, 12, 0, 2, 224, 230, 11, 0, 8, 29, 0, 0, 3
814200, 1, 1, 4, 1, 1, 0, 0, 0, 216, 229, 10, 0, 3, 0, 200, 10, 0, 235, 29, 0, 0, 3
