195300, 1, 1, 63, 1, 1, 0, 0, 0, 228, 250, 2, 0, 1, 137, 7, 0, 0, 32, 191, 2, 0
255300, 1, 1, 63, 1, 1, 0, 0, 0, 68, 229, 3, 0, 2, 203, 10, 0, 0, 128, 169, 3, 0
315300, 1, 1, 63, 1, 1, 0, 0, 0, 164, 207, 4, 0, 2, 121, 14, 0, 0, 224, 147, 4, 0
375300, 1, 1, 63, 1, 1, 0, 0, 0, 4, 186, 5, 0, 2, 7, 18, 0, 0, 64, 126, 5, 0
435300, 1, 1, 63, 1, 1, 0, 0, 0, 100, 164, 6, 0, 2, 176, 21, 0, 0, 160, 104, 6, 0
495300, 1, 1, 63, 1, 1, 0, 0, 0, 196, 142, 7, 0, 2, 73, 25, 0, 0, 0, 83, 7, 0
555300, 1, 1, 63, 1, 1, 0, 0, 0, 36, 121, 8, 0, 2, 46, 28, 0, 0, 96, 61, 8, 0
615300, 1, 1, 63, 1, 1, 0, 0, 0, 132, 99, 9, 0, 2, 246, 30, 0, 0, 192, 39, 9, 0
675300, 1, 1, 63, 1, 1, 0, 0, 0, 228, 77, 10, 0, 2, 80, 33, 0, 0, 32, 18, 10, 0
735300, 1, 1, 63, 1, 1, 0, 0, 0, 68, 56, 11, 0, 2, 21, 35, 0, 0, 128, 252, 10, 0
637400, 1, 1, 63, 1, 1, 0, 0, 0, 216, 185, 9, 0, 3, 21, 35, 0, 0, 0, 126, 9, 0
